Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
48,2477.085205078125,15563.985365178807,33301070.0,-790082.8125,33310441.215863653,-1.3591130757569216,-50.76352836129277,8.132172306424213e-11,33301070.0,50.76352836129277,-8.132172306424213e-11,33301069.999999996,-0.02372544823634796,42.14883487292669,-790082.8125,3.00290651321414e-08,-1.2656901076429884e-06
49,2915.039794921875,18315.73520929692,33313854.0,-637629.75,33319955.582674492,-1.0965117782338603,-34.81322167599061,8.562627905473889e-11,33313854.0,34.81322167599062,-8.562627905473889e-11,33313854.0,-0.019140077578535343,52.24639220488066,-637629.75,3.0017541650990004e-08,-1.5683082541239645e-06
50,3430.410400390625,21553.904225330418,33282480.0,-566618.0625,33287302.84927199,-0.9753386061240382,-26.28841886724649,8.188109399314252e-11,33282480.0,26.28841886724649,-8.188109399314252e-11,33282479.999999996,-0.017024514474281965,58.73882638536607,-566618.0625,3.004583793034654e-08,-1.7648572577934718e-06
51,4036.934326171875,25364.806444252048,33250702.0,-456840.3125,33253840.177698713,-0.7871525541468014,-18.010794346255505,8.629865506607589e-11,33250702.0,18.01079434625551,-8.629865506607588e-11,33250702.0,-0.013739268196503038,72.7840803234719,-456840.3125,3.007455301244467e-08,-2.188948682150286e-06
52,4750.79296875,29850.112578702086,33205908.0,-347449.5,33207725.716458123,-0.5994916168152155,-11.639805346928693,9.641893620122871e-11,33205908.0,11.639805346928693,-9.641893620122871e-11,33205908.000000004,-0.01046348438958513,95.57045844072304,-347449.5,3.011512288716815e-08,-2.878116100325371e-06
53,5590.7294921875,35127.58940172809,33198264.0,-286676.34375,33199501.742341883,-0.4947528681793363,-8.161002466508478,9.930241153744022e-11,33198264.0,8.161002466508478,-9.930241153744022e-11,33198264.0,-0.00863528116259332,115.80398844820974,-286676.34375,3.0122056984666426e-08,-3.488254339088626e-06
54,6579.32861328125,41339.14087407499,33249822.0,-199625.171875,33250421.249074876,-0.3439880793968808,-4.828962761540865,1.2117785208394197e-10,33249822.0,4.828962761540865,-1.2117785208394197e-10,33249821.999999996,-0.00600379670829516,166.56126924123657,-199625.171875,3.007534897480053e-08,-5.009388298115898e-06
55,7742.55029296875,48647.87824088025,33278056.0,-111063.65625,33278241.333863717,-0.19122075922843568,-2.283011310381671,1.8508197709159073e-10,33278056.0,2.283011310381671,-1.850819770915907e-10,33278055.999999996,-0.0033374442380288078,299.6304743028843,-111063.65625,3.0049832237796586e-08,-9.003845486133093e-06
56,9111.5947265625,57249.8381109125,33246642.0,-34463.5234375,33246659.862467565,-0.059392877417516636,-0.6019846444060223,5.068343732540552e-10,33246642.0,0.6019846444060223,-5.068343732540553e-10,33246642.0,-0.001036601634459805,964.6907420912191,-34463.5234375,3.007822564456284e-08,-2.9016185817840466e-05
57,10722.5498046875,67371.76738831385,33220224.0,15279.1220703125,33220227.51369634,0.026352295143006455,0.22678820316895504,-9.714571718871868e-10,33220224.0,-0.22678820316895504,9.714571718871868e-10,33220223.999999996,0.00045993434813421184,-2174.223351781923,15279.1220703125,3.0102145006608025e-08,6.544878661209278e-05
